caseId,intensityMode,taskMode,method,dfMHz,PRP,chipLength,Ncoh,codeType,codeLength,nFreq,scanTimeSec,heightResolutionKm,integrationGainDb,observabilityScore,complexityCost,fixedErr
8,weak,foEs,Manual task heuristic,0.05,0.008,1.6e-05,12,barker,13,11,1.056,2.398339664,21.9312459835446,0.70937471311033,0.0075,0
9,weak,hEs,NSGA-II task-driven,0.0805330440579702,0.00986492566943131,8e-06,16,barker,13,13,2.05190453924171,1.199169832,23.1806333496276,0.798616667830544,0.01,0
9,weak,hEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
9,weak,hEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
9,weak,hEs,Manual task heuristic,0.12,0.008,8e-06,12,barker,13,9,0.864,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
10,weak,weakEs,NSGA-II task-driven,0.0773901939770874,0.00853867867102828,1.06227920707181e-05,30,barker,13,14,3.58624504183188,1.59231647285175,25.910646070265,0.993617576447499,0.01875,0
10,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
10,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
10,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
11,weak,full_trace,NSGA-II task-driven,0.0308720626725507,0.00813843131810596,1.10530694167317e-05,14,barker,13,34,3.87389330741844,1.65681342444331,22.6007138798507,0.757193848560768,0.00875,0
11,weak,full_trace,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
11,weak,full_trace,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
11,weak,full_trace,Manual task heuristic,0.05,0.008,1.4e-05,16,barker,13,21,2.688,2.098547206,23.1806333496276,0.798616667830544,0.01,0
12,weak,balanced,NSGA-II task-driven,0.0917450335864279,0.00711039712953528,8e-06,10,barker,13,12,0.853247655544234,1.199169832,21.1394335230684,0.652816680219169,0.00625,0
12,weak,balanced,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
12,weak,balanced,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
12,weak,balanced,Manual task heuristic,0.12,0.008,1.6e-05,16,barker,13,9,1.152,2.398339664,23.1806333496276,0.798616667830544,0.01,0
13,weak,fast,NSGA-II task-driven,0.245590091989582,0.00676865789496438,1.35161577884626e-05,6,barker,13,5,0.203059736848931,2.02602108305953,18.9209460269048,0.494353287636057,0.00375,0
13,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
13,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
13,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
14,weak,foEs,NSGA-II task-driven,0.02,0.00735937737202031,1.45893010907047e-05,6,barker,13,26,1.14806287003517,2.18688121724223,18.9209460269048,0.494353287636057,0.00375,0
14,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
14,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
14,weak,foEs,Manual task heuristic,0.05,0.008,1.6e-05,12,barker,13,11,1.056,2.398339664,21.9312459835446,0.70937471311033,0.0075,0
15,weak,hEs,NSGA-II task-driven,0.0899907028300574,0.0116318883580318,8.55247948014912e-06,10,barker,13,12,1.39582660296381,1.28198442267423,21.1394335230684,0.652816680219169,0.00625,0
15,weak,hEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
15,weak,hEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
15,weak,hEs,Manual task heuristic,0.12,0.008,8e-06,12,barker,13,9,0.864,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
16,weak,weakEs,NSGA-II task-driven,0.0942697590484342,0.00754762667877094,1.84422950643468e-05,28,complementary,16,12,5.07200512813407,2.76443048425089,28.0127801399814,1,0.1675,0
16,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
16,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
16,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
17,weak,full_trace,NSGA-II task-driven,0.0485673259348102,0.00829300213023064,9.27093689628407e-06,14,barker,13,22,2.55424465611104,1.38967848004995,22.6007138798507,0.757193848560768,0.00875,0
17,weak,full_trace,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
17,weak,full_trace,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
17,weak,full_trace,Manual task heuristic,0.05,0.008,1.4e-05,16,barker,13,21,2.688,2.098547206,23.1806333496276,0.798616667830544,0.01,0
18,weak,balanced,NSGA-II task-driven,0.0920046964449701,0.00764181748504068,8.30320988148581e-06,10,barker,13,12,0.917018098204882,1.24461984983026,21.1394335230684,0.652816680219169,0.00625,0
18,weak,balanced,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
18,weak,balanced,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
18,weak,balanced,Manual task heuristic,0.12,0.008,1.6e-05,16,barker,13,9,1.152,2.398339664,23.1806333496276,0.798616667830544,0.01,0
19,weak,fast,NSGA-II task-driven,0.240080659156814,0.0067353678706242,1.69350594104307e-05,6,barker,13,5,0.202061036118726,2.53850154351453,18.9209460269048,0.494353287636057,0.00375,0
19,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
19,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
19,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
20,weak,foEs,NSGA-II task-driven,0.02,0.00702768301124813,1.32858293313883e-05,8,barker,13,26,1.46175806633961,1.9914957159127,20.1703333929878,0.583595242356272,0.005,0
20,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
20,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
20,weak,foEs,Manual task heuristic,0.05,0.008,1.6e-05,12,barker,13,11,1.056,2.398339664,21.9312459835446,0.70937471311033,0.0075,0
21,weak,hEs,NSGA-II task-driven,0.0831835606961372,0.00790507661350954,8e-06,12,barker,13,13,1.23319195170749,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
21,weak,hEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
21,weak,hEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
21,weak,hEs,Manual task heuristic,0.12,0.008,8e-06,12,barker,13,9,0.864,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
22,weak,weakEs,NSGA-II task-driven,0.0745562664396979,0.00779275003325109,8.18444645512206e-06,42,barker,13,15,4.90943252094818,1.22681766007521,27.3719264270474,1,0.02625,0
22,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
22,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
22,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
23,weak,full_trace,NSGA-II task-driven,0.0330619516273992,0.0081633329178078,1.10251326592433e-05,14,barker,13,32,3.65717314717789,1.65262580984532,22.6007138798507,0.757193848560768,0.00875,0
23,weak,full_trace,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
23,weak,full_trace,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
23,weak,full_trace,Manual task heuristic,0.05,0.008,1.4e-05,16,barker,13,21,2.688,2.098547206,23.1806333496276,0.798616667830544,0.01,0
24,weak,balanced,NSGA-II task-driven,0.0830753525340115,0.00775882413516933,8.18964038912482e-06,10,barker,13,13,1.00864713757201,1.2275962111959,21.1394335230684,0.652816680219169,0.00625,0
24,weak,balanced,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
24,weak,balanced,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
24,weak,balanced,Manual task heuristic,0.12,0.008,1.6e-05,16,barker,13,9,1.152,2.398339664,23.1806333496276,0.798616667830544,0.01,0
25,weak,fast,NSGA-II task-driven,0.224944092249403,0.00676963901777498,1.73022814203852e-05,6,barker,13,5,0.20308917053325,2.5935467380125,18.9209460269048,0.494353287636057,0.00375,0
25,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
25,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
25,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
26,weak,foEs,NSGA-II task-driven,0.02,0.00795187699956941,1.47796692009799e-05,6,barker,13,26,1.24049281193283,2.21541667909434,18.9209460269048,0.494353287636057,0.00375,0
26,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
26,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
26,weak,foEs,Manual task heuristic,0.05,0.008,1.6e-05,12,barker,13,11,1.056,2.398339664,21.9312459835446,0.70937471311033,0.0075,0
27,weak,hEs,NSGA-II task-driven,0.0733482412544373,0.0104983256993055,8e-06,14,barker,13,15,2.20464839685415,1.199169832,22.6007138798507,0.757193848560768,0.00875,0
27,weak,hEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
27,weak,hEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
27,weak,hEs,Manual task heuristic,0.12,0.008,8e-06,12,barker,13,9,0.864,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
28,weak,weakEs,NSGA-II task-driven,0.0789824883869498,0.00838024928440416,1.01274800932793e-05,28,barker,13,14,3.28505771948643,1.51807107525513,25.6110138364906,0.97221527403504,0.0175,0
28,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
28,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
28,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
29,weak,full_trace,NSGA-II task-driven,0.05,0.008,8e-06,10,complementary,16,21,3.36,1.199169832,23.5411998265593,0.824371416182804,0.15625,0
29,weak,full_trace,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
29,weak,full_trace,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
29,weak,full_trace,Manual task heuristic,0.05,0.008,1.4e-05,16,barker,13,21,2.688,2.098547206,23.1806333496276,0.798616667830544,0.01,0
30,weak,balanced,NSGA-II task-driven,0.0702429278650231,0.00999791241542784,8e-06,10,barker,13,15,1.49968686231418,1.199169832,21.1394335230684,0.652816680219169,0.00625,0
30,weak,balanced,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
30,weak,balanced,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
30,weak,balanced,Manual task heuristic,0.12,0.008,1.6e-05,16,barker,13,9,1.152,2.398339664,23.1806333496276,0.798616667830544,0.01,0
31,weak,fast,NSGA-II task-driven,0.24082564095874,0.00672004221335504,1.30240073124612e-05,6,barker,13,5,0.201601266400651,1.95224958260636,18.9209460269048,0.494353287636057,0.00375,0
31,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
31,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
31,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
32,weak,foEs,NSGA-II task-driven,0.02,0.00717548908661768,1.35030119004609e-05,6,barker,13,26,1.11937629751236,2.02405056402121,18.9209460269048,0.494353287636057,0.00375,0
32,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
32,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
32,weak,foEs,Manual task heuristic,0.05,0.008,1.6e-05,12,barker,13,11,1.056,2.398339664,21.9312459835446,0.70937471311033,0.0075,0
33,weak,hEs,NSGA-II task-driven,0.0923692794912321,0.00831769204940891,8e-06,12,barker,13,12,1.19774765511488,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
33,weak,hEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
33,weak,hEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
33,weak,hEs,Manual task heuristic,0.12,0.008,8e-06,12,barker,13,9,0.864,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
34,weak,weakEs,NSGA-II task-driven,0.0923924784383893,0.00704852563720457,1.63244146802324e-05,42,barker,13,12,3.5524569211511,2.44696820119907,27.3719264270474,1,0.02625,0
34,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
34,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
34,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
35,weak,full_trace,NSGA-II task-driven,0.05,0.008,1.2e-05,28,barker,13,21,4.704,1.798754748,25.6110138364906,0.97221527403504,0.0175,0
35,weak,full_trace,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
35,weak,full_trace,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
35,weak,full_trace,Manual task heuristic,0.05,0.008,1.4e-05,16,barker,13,21,2.688,2.098547206,23.1806333496276,0.798616667830544,0.01,0
36,weak,balanced,NSGA-II task-driven,0.0944234184235052,0.00720323952489288,8.02817593057683e-06,10,barker,13,12,0.864388742987146,1.20339329774203,21.1394335230684,0.652816680219169,0.00625,0
36,weak,balanced,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
36,weak,balanced,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
36,weak,balanced,Manual task heuristic,0.12,0.008,1.6e-05,16,barker,13,9,1.152,2.398339664,23.1806333496276,0.798616667830544,0.01,0
37,weak,fast,NSGA-II task-driven,0.231323845657947,0.00684443286896196,2.15321258188904e-05,6,barker,13,5,0.205332986068859,3.22758446260521,18.9209460269048,0.494353287636057,0.00375,0
37,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
37,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
37,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
38,weak,foEs,NSGA-II task-driven,0.0258359853549767,0.00713451578183203,1.12062183964852e-05,10,barker,13,20,1.42690315636641,1.67976987898355,21.1394335230684,0.652816680219169,0.00625,0
38,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
38,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
38,weak,foEs,Manual task heuristic,0.05,0.008,1.6e-05,12,barker,13,11,1.056,2.398339664,21.9312459835446,0.70937471311033,0.0075,0
39,weak,hEs,NSGA-II task-driven,0.0926837482674449,0.00756490215712643,8e-06,20,barker,13,12,1.81557651771034,1.199169832,24.1497334797082,0.867838105693442,0.0125,0
39,weak,hEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
39,weak,hEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
39,weak,hEs,Manual task heuristic,0.12,0.008,8e-06,12,barker,13,9,0.864,1.199169832,21.9312459835446,0.70937471311033,0.0075,0
40,weak,weakEs,NSGA-II task-driven,0.0893963429835152,0.0097446669692611,8.49565118813895e-06,28,barker,13,12,3.27420810167173,1.2734660760014,25.6110138364906,0.97221527403504,0.0175,0
40,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
40,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
40,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
41,weak,full_trace,NSGA-II task-driven,0.0456848215661804,0.00743115100463648,8e-06,18,barker,13,23,3.0764965159195,1.199169832,23.6921585741014,0.835154183864388,0.01125,0
41,weak,full_trace,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
41,weak,full_trace,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
41,weak,full_trace,Manual task heuristic,0.05,0.008,1.4e-05,16,barker,13,21,2.688,2.098547206,23.1806333496276,0.798616667830544,0.01,0
42,weak,balanced,NSGA-II task-driven,0.0893963427347971,0.00715749476826885,8.45818935434979e-06,10,barker,13,12,0.858899372192262,1.26785068838498,21.1394335230684,0.652816680219169,0.00625,0
42,weak,balanced,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
42,weak,balanced,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
42,weak,balanced,Manual task heuristic,0.12,0.008,1.6e-05,16,barker,13,9,1.152,2.398339664,23.1806333496276,0.798616667830544,0.01,0
43,weak,fast,NSGA-II task-driven,0.241059589053229,0.00671155013232774,1.82125903361563e-05,6,barker,13,5,0.201346503969832,2.72999861171167,18.9209460269048,0.494353287636057,0.00375,0
43,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
43,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
43,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
44,weak,foEs,NSGA-II task-driven,0.02,0.00767985310275788,1.20293521748322e-05,6,barker,13,26,1.19805708403023,1.80315452832029,18.9209460269048,0.494353287636057,0.00375,0
44,weak,foEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,6,0.768,2.99792458,23.1806333496276,0.798616667830544,0.01,0
44,weak,foEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.75
